id,title_s,title_l,date,status,PI,co_PIs,institution,institution_full,desc,theme,systems,link,latitude,longitude,geometry,type,state
12,Ecological Effects of Reservoir Water Level Management and Implications for Juvenile Chinook Salmon,Ecological Effects of Reservoir Water Level Management and Implications for Juvenile Chinook Salmon,2019,completed,"Murphy, Christina A. ",,OSU,Oregon State University,,environment,,https://ir.library.oregonstate.edu/concern/graduate_thesis_or_dissertations/m900p103q?locale=en,43.92672,-122.74532,TRUE,research,oregon
13,Caution! High Water: A Historical Archaeological Investigation of the Champoeg Townsite (ORMA26) after the 1861 Flood,Caution! High Water: A Historical Archaeological Investigation of the Champoeg Townsite (ORMA26) after the 1861 Flood,2019,completed,"Hill, Cayla L.",,OSU,Oregon State University,,arts,,https://ir.library.oregonstate.edu/concern/graduate_thesis_or_dissertations/8049gb614?locale=en,45.24761,-122.88244,TRUE,research,oregon
14,Function of Oregon Estuaries to Juvenile Fishes,"Function of Oregon Estuaries to Juvenile Fishes, with Focus on Juvenile Rockfishes (Sebastes spp.) in Yaquina Bay, Oregon",2020,completed,"Schwartzkopf, Brittany D.",,OSU,Oregon State University,,environment,,https://ir.library.oregonstate.edu/concern/graduate_thesis_or_dissertations/sb397g047?locale=en,44.62579,-124.04618,TRUE,research,oregon
15,High-resolution Carbonate Dynamics of Netarts Bay,"High-resolution Carbonate Dynamics of Netarts Bay, OR from 2014 - 2019",2020,completed,"Fairchild, William M.",,OSU,Oregon State University,,"environment, health",,https://ir.library.oregonstate.edu/concern/graduate_thesis_or_dissertations/s7526k378?locale=en,45.39488,-123.94174,TRUE,research,oregon
16,Annual Forages Differ in Response to Partial-Season Irrigation Deficit in Both Spring Seeded and Summer Seeded Cropping Systems ,Annual Forages Differ in Response to Partial-Season Irrigation Deficit in Both Spring Seeded and Summer Seeded Cropping Systems ,2019,completed,"Fan, Qianqian",,OSU,Oregon State University,,"environment, economy",,https://ir.library.oregonstate.edu/concern/graduate_thesis_or_dissertations/d791sn44x?locale=en,45.20791,-117.86543,TRUE,research,oregon
18,A Trend Analysis of Nitrate in the Southern Willamette Valley Groundwater Management Area (GWMA),A Trend Analysis of Nitrate in the Southern Willamette Valley Groundwater Management Area (GWMA),2019,completed,"Piscitelli, Cody M.",,OSU,Oregon State University,,health,,https://ir.library.oregonstate.edu/concern/graduate_thesis_or_dissertations/cr56n703s?locale=en,44.1956,-123.1398,TRUE,research,oregon
19,Feeding Ecology and Food Web Linkages of Yearling Chinook Salmon,Feeding Ecology and Food Web Linkages of Yearling Chinook Salmon (Oncorhynchus tshawytscha) Migrating Through the Lower Columbia River and Estuary,2019,completed,"Munguia, Angelica ",,OSU,Oregon State University,,environment,,https://ir.library.oregonstate.edu/concern/graduate_thesis_or_dissertations/sf268b86r?locale=en,46.13153,-123.32988,TRUE,research,oregon
20,Microplastics in Aquatic Organisms,Microplastics in Aquatic Organisms: Improving Understanding and Identifying Research Directions for the Next Decade,2020,completed,"Granek, Elise F.","Brander, Susanne, E.B., Holland ",PSU,Portland State University,,"environment, health",,https://pdxscholar.library.pdx.edu/esm_fac/293/,0,0,FALSE,research,oregon
21,"Sea Level, Tidal, and River Flow Trends in the Lower Columbia River Estuary, 1853-Present","Sea Level, Tidal, and River Flow Trends in the Lower Columbia River Estuary, 1853-Present",2020,completed,"Talke, Stefan ","Mahedy, Andrew, Jay, David A., Lau, Patrick, Hilley, Conrad, Hudson, Amanda",PSU,Portland State University,,environment,,https://pdxscholar.library.pdx.edu/cengin_fac/537/,46.2292,-123.6003,TRUE,research,oregon
22,"Geochemical Response to Thermal Energy Storage in the Columbia River Basalt Aquifer System Beneath the Portland Basin, Oregon","Geochemical Response to Thermal Energy Storage in the Columbia River Basalt Aquifer System Beneath the Portland Basin, Oregon",2020,completed,"Svadlenak, Ellen Elizabeth",,PSU,Portland State University,,environment,,https://pdxscholar.library.pdx.edu/open_access_etds/5362/,45.5281,-122.6321,TRUE,research,oregon
23,"Mixing of the Willamette and Columbia Rivers across Sauvie Island, Oregon based on stable isotopes (18O and D) of surface water","Mixing of the Willamette and Columbia Rivers across Sauvie Island, Oregon based on stable isotopes (_18O and _D) of surface water",2019,completed,"Saslaw, Mae",,PSU,Portland State University,,environment,,https://pdxscholar.library.pdx.edu/uerc/2019/presentations/15/,45.6909,-122.8108,TRUE,research,oregon
24,Literature Review on the Effects of Water Fluoridation on the Human Health,Literature Review on the Effects of Water Fluoridation on the Human Health,2019,completed,"Abdeljawad, Diana",,PSU,Portland State University,,health,,https://pdxscholar.library.pdx.edu/honorstheses/708/,0,0,FALSE,research,oregon
25,Watershed Assessment of Tryon Creek of Oregon,Watershed Assessment of Tryon Creek of Oregon,2019,completed,"Goodrich, Danielle ",,PSU,Portland State University,,environment,,https://pdxscholar.library.pdx.edu/mem_gradprojects/57/,45.46029,-122.6716,TRUE,research,oregon
27,"Spatial Characteristics And Frequency of Citizen-Observed Pluvial Flooding Events in Relation to Storm Size in Portland, Oregon","Spatial Characteristics And Frequency of Citizen-Observed Pluvial Flooding Events in Relation to Storm Size in Portland, Oregon",2019,completed,"Michelson, Katelyn ","Chang, Heejun",PSU,Portland State University,,"health, safety, environment",,https://pdxscholar.library.pdx.edu/geog_fac/152/,45.5173,-122.6744,TRUE,research,oregon
28,"Dynamics of Wet-season Turbidity in Relation to Precipitation, Discharge, and Land Cover","Dynamics of Wet-season Turbidity in Relation to Precipitation, Discharge, and Land Cover in Three Urbanizing Watersheds, Oregon",2019,completed,"Chen, Junjie, Chang, Heejun ",,PSU,Portland State University,,environment,,https://pdxscholar.library.pdx.edu/geog_fac/139/,45.5288,-122.6618,TRUE,research,oregon
29,Designing hydro-logical community resilience,Designing hydro-logical community resilience,2019,completed,"Luna, Natalia S. Ortiz",,PSU,Portland State University,,"community, environment",,https://pdxscholar.library.pdx.edu/uerc/2019/presentations/3/,45.5173,-122.6744,TRUE,research,oregon
30,Who does it best? Engineers vs. beavers in a stormwater treatment facility,Who does it best? Engineers vs. beavers in a stormwater treatment facility,2019,completed,"Holzer, Katie A. ","Bromley, Karen, Lindbo, Torrey",PSU,Portland State University,,health,,https://pdxscholar.library.pdx.edu/uerc/2019/presentations/7/,45.5348,-122.4405,TRUE,research,oregon
32,Analysis of Toxic Pollutant Sources and Characteristics Contributing to Water Quality Impairments in the Willamette River Basin,Analysis of Toxic Pollutant Sources and Characteristics Contributing to Water Quality Impairments in the Willamette River Basin,2019,completed,"Borgens, Melinda ",,PSU,Portland State University,,"health, environment",,https://pdxscholar.library.pdx.edu/mem_gradprojects/55/,44.724,-122.952,TRUE,research,oregon
33,Nutrients Mediate the Effects of Temperature on Methylmercury Concentrations in Freshwater Zooplankton,Nutrients Mediate the Effects of Temperature on Methylmercury Concentrations in Freshwater Zooplankton,2019,completed,"Jordan, Meredith P."," Stewart, A. Robin,  Eagles-Smith, Collin A.,  Strecker, Angela L.",PSU,Portland State University,,environment,,https://pdxscholar.library.pdx.edu/esm_fac/267/,0,0,FALSE,research,oregon
34,Water Quality Analysis of Ecoroof Runoff in Portland,Water Quality Analysis of Ecoroof Runoff in Portland,2019,completed,"Deshmukh, Pranoti P. ",,PSU,Portland State University,,"health, community",,https://pdxscholar.library.pdx.edu/cengin_gradprojects/48/,45.5269,-122.6668,TRUE,research,oregon
35,Stormwater Treatment Effectiveness of Established Bioretention Facilities,"Stormwater Treatment Effectiveness of Established Bioretention Facilities in Portland, Oregon",2019,completed,"Kohlsmith, Emma Rose ",,PSU,Portland State University,,"health, environment",,https://pdxscholar.library.pdx.edu/open_access_etds/5176/,45.5173,-122.6744,TRUE,research,oregon
36,Nile Red Microplastic Validation,Nile Red Microplastic Validation: Enhancing the Study of Microplastics in Oregon's River Water,2019,completed,"Valine, Amy ",,PSU,Portland State University,,"health, environment",,https://pdxscholar.library.pdx.edu/honorstheses/776/,0,0,FALSE,research,oregon
37,"Dam, it's hot in here! Human- vs. beaver-constructed dams and stream temperature","Dam, it's hot in here! Human- vs. beaver-constructed dams and stream temperature",2019,completed,"Jenkins, Noah ",,PSU,Portland State University,,environment,,https://pdxscholar.library.pdx.edu/uerc/2019/presentations/6/,45.49447,-122.44135,TRUE,research,oregon
38,On the Drought Recovery and Resiliency: How Terrestrial and Riverine Ecosystems Recover from Agricultural and Hydrological Droughts,On the Drought Recovery and Resiliency: How Terrestrial and Riverine Ecosystems Recover from Agricultural and Hydrological Droughts,2019,completed,"Ahmadi, Behzad ",,PSU,Portland State University,,environment,,https://pdxscholar.library.pdx.edu/open_access_etds/4834/,0,0,FALSE,research,oregon
39,"Detecting Geomorphic Change and Stream Channel Evolution on the Sandy River, Oregon","Detecting Geomorphic Change and Stream Channel Evolution on the Sandy River, Oregon, Using Lidar Following Dam Removal in 2007",2019,completed,"Anthony, Lowell Henry ",,PSU,Portland State University,,environment,,https://pdxscholar.library.pdx.edu/open_access_etds/4844/,45.39658,-122.12592,TRUE,research,oregon
40,Hydrological Drought Persistence and Recovery over the CONUS,Hydrological Drought Persistence and Recovery over the CONUS: A Multi-stage Framework Considering Water Quantity and Quality,2019,completed,"Ahmadi, Behzad ","Ahmadalipour, Ali, Moradkhani, Hamid ",PSU,Portland State University,,"health, environment",,https://pdxscholar.library.pdx.edu/cengin_fac/516/,0,0,FALSE,research,oregon
41,"Dynamics of Wet-Season Turbidity in Relations to Precipitation, Discharge, and Land Cover","Dynamics of Wet-Season Turbidity in Relations to Precipitation, Discharge, and Land Cover in Three Urbanizing Watersheds, Oregon",2019,completed,"Chen, Junjie ",,PSU,Portland State University,,"health, environment",,https://pdxscholar.library.pdx.edu/open_access_etds/5118/,45.5173,-122.6744,TRUE,research,oregon
42,"Stratigraphic Evidence of Cascadia Earthquake Induced Relative Sea Level Change at Netarts Bay, Oregon","Stratigraphic Evidence of Cascadia Earthquake Induced Relative Sea Level Change at Netarts Bay, Oregon",2019,completed,"Graham-Davis, Jazzy M. ",,PSU,Portland State University,,environment,,https://pdxscholar.library.pdx.edu/honorstheses/757/,45.39488,-123.94174,TRUE,research,oregon
43,Process-Based Modeling of the Dairy- McKay Watershed to Inform Monitoring for Agricultural Best Management Practices,Process-Based Modeling of the Dairy- McKay Watershed to Inform Monitoring for Agricultural Best Management Practices,2019,completed,"Saeman, Brittany ",,PSU,Portland State University,,"economy, law",,https://pdxscholar.library.pdx.edu/mem_gradprojects/54/,45.5404,"-123.0440,",TRUE,research,oregon
44,Historical Changes in Lower Columbia River and Estuary Floods: A Numerical Study,Historical Changes in Lower Columbia River and Estuary Floods: A Numerical Study,2019,completed,"Helaire, Lumas ","Stefan Talke, David A. Jay, Andrew Mahedy",PSU,Portland State University,,environment,,https://pdxscholar.library.pdx.edu/cengin_fac/522/,46.2391,-123.5792,TRUE,research,oregon
45,The Columbia Slough Sediment Program: Reducing contamination and long-term risk in Portland's hidden gem,The Columbia Slough Sediment Program,2019,completed,"Huniu, Kevin ",,PSU,Portland State University,,environment,,https://pdxscholar.library.pdx.edu/uerc/2019/posters/6/,45.58385,-122.6517,TRUE,research,oregon
46,"Flood Dynamics in the Portland Metropolitan Area, Past, Present, and Future","Flood Dynamics in the Portland Metropolitan Area, Past, Present, and Future",2019,completed,"Helaire, Lumas Terence ",,PSU,Portland State University,,"law, community, environment",,https://pdxscholar.library.pdx.edu/open_access_etds/5354/,45.5173,-122.6744,TRUE,research,oregon
47,Urban impacts on the biological health of Portland streams,Urban impacts on the biological health of Portland streams,2019,completed,"Prescott, Chris ",,PSU,Portland State University,,"health, environment",,https://pdxscholar.library.pdx.edu/uerc/2019/presentations/14/,45.5173,-122.6744,TRUE,research,oregon
48,A Case Study of OregonWaterStories.com,"A Case Study of OregonWaterStories.com: Exploring Agency with Water Justice, Activist Applied Linguistics, and a Community Partner",2019,completed,"Haeffner, Melissa ","Cowal, Janet",PSU,Portland State University,,"community, environment",,https://pdxscholar.library.pdx.edu/esm_fac/266/,0,0,FALSE,research,oregon
49,Hydrologic Trends and Spatial Relationships of Stream Temperature and Discharge in Urbanizing Watersheds,Hydrologic Trends and Spatial Relationships of Stream Temperature and Discharge in Urbanizing Watersheds in the Portland Metropolitan Area of the Pacific Northwest,2019,completed,"Brenneman, Emma Lee ",,PSU,Portland State University,,environment,,https://pdxscholar.library.pdx.edu/open_access_etds/5128/,45.5173,-122.6744,TRUE,research,oregon
50,Spatial Analysis of Landscape and Sociodemographic Factors Associated With Green Stormwater Infrastructure Distribution,"Spatial Analysis of Landscape and Sociodemographic Factors Associated With Green Stormwater Infrastructure Distribution in Baltimore, Maryland and Portland, Oregon",2019,completed,"Baker, Ashley ","Brenneman, Emma, Chang, Heejun, McPhillips, Lauren, Matsler, Marissa ",PSU,Portland State University,,"community, law, environment, tech",,https://pdxscholar.library.pdx.edu/geog_fac/127/,45.5173,-122.6744,TRUE,research,oregon
51,Interaction of climate change with restoration action maturation in an urban environment: Impacts to salmon habitat,Interaction of climate change with restoration action maturation in an urban environment: Impacts to salmon habitat,2019,completed,"McMullen, Laura E.  ","Walker, Jon, McConnaha, Chip ",PSU,Portland State University,,environment,,https://pdxscholar.library.pdx.edu/uerc/2019/presentations/2/,45.5173,-122.6744,TRUE,research,oregon
52,Evaluating the Impact and Distribution of Stormwater Green Infrastructure on Watershed Outflow,Evaluating the Impact and Distribution of Stormwater Green Infrastructure on Watershed Outflow,2019,completed,"Fahy, Benjamin ",,PSU,Portland State University,,"tech, environment",,https://pdxscholar.library.pdx.edu/open_access_etds/4732/,45.4894,-122.4452,TRUE,research,oregon
53,"The Fate of Atmospherically Deposited Mercury in Mountain Lake Food Webs, and Implications for Fisheries Management","The Fate of Atmospherically Deposited Mercury in Mountain Lake Food Webs, and Implications for Fisheries Management",2019,completed,"Chiapella, Ariana Martos ",,PSU,Portland State University,,"environment, health",,https://pdxscholar.library.pdx.edu/open_access_etds/5091/,0,0,FALSE,research,oregon
54,A Network Approach to Complex Problems: Understanding Collaborative Governance in Watershed Management,A Network Approach to Complex Problems: Understanding Collaborative Governance in Watershed Management,2019,completed,"Daniel, Allison ",,PSU,Portland State University,,"law, community",,https://pdxscholar.library.pdx.edu/hgjpa/vol3/iss2/7/,0,0,FALSE,research,oregon
55,The Effect of Land Use on Greenhouse Gas Emissions Along Salinity Gradients in Pacific Northwest Coastal Wetlands,The Effect of Land Use on Greenhouse Gas Emissions Along Salinity Gradients in Pacific Northwest Coastal Wetlands,2019,completed,"Schultz, Matthew ",,UO,University of Oregon,,environment,,https://scholarsbank.uoregon.edu/xmlui/handle/1794/24948,43.424,-124.2211,TRUE,research,oregon
56,"Addressing the Dam Problem: Balancing Historic Preservation, Environmentalism, and Community Place Attachment","Addressing the Dam Problem: Balancing Historic Preservation, Environmentalism, and Community Place Attachment",2019,completed,"Wunderler-Selby, Althea",,UO,University of Oregon,,community,,https://scholarsbank.uoregon.edu/xmlui/handle/1794/24949,0,0,FALSE,research,oregon
57,The Dynamics and Exchange Flow Variability of the Coos Estuary,The Dynamics and Exchange Flow Variability of the Coos Estuary,2019,completed,"Conroy, Ted",,UO,University of Oregon,,environment,,https://scholarsbank.uoregon.edu/xmlui/handle/1794/24217,43.424,-124.2211,TRUE,research,oregon
58,"Re-examining Shoreline Elevations at Ancient Lake Chewaucan in Central Oregon, USA","Re-examining Shoreline Elevations at Ancient Lake Chewaucan in Central Oregon, USA",2019,completed,"Kendrick, Brianna",,UO,University of Oregon,,environment,,https://scholarsbank.uoregon.edu/xmlui/handle/1794/24747,42.711,-120.369,TRUE,research,oregon
59,Estimating Future Flood Risk in the Columbia River Basin Under Climate Change Using an Ensemble of Hydrologic Simulations,Estimating Future Flood Risk in the Columbia River Basin Under Climate Change Using an Ensemble of Hydrologic Simulations,2019,completed,"Queen, Laura E.",,UO,University of Oregon,,environment,,https://scholarsbank.uoregon.edu/xmlui/handle/1794/25053,0,0,FALSE,research,oregon
60,Monitoring Aquatic Habitat Restoration using High-Resolution Multispectral Remote Sensing,Monitoring Aquatic Habitat Restoration using High-Resolution Multispectral Remote Sensing,2019,completed,"Baldwin, Daniel",,UO,University of Oregon,,"economy, tech",,https://scholarsbank.uoregon.edu/xmlui/handle/1794/24951,44.771,-118.405,TRUE,research,oregon
61,"Lateral Channel Confinement, Tributaries, and Their Impact on Channel Morphology","Lateral Channel Confinement, Tributaries, and Their Impact on Channel Morphology",2019,completed,"Zettler-Mann, Aaron",,UO,University of Oregon,,"environment, tech",,https://scholarsbank.uoregon.edu/xmlui/handle/1794/24892,42.4516,-124.0161,TRUE,research,oregon
62,"Sea Level, Stormwater, and Land Use: Inundation in City Planning for Coos Bay, Oregon","Sea Level, Stormwater, and Land Use: Inundation in City Planning for Coos Bay, Oregon",2019,completed,"Stillman, C",,UO,University of Oregon,,"environment, community, economy",,https://scholarsbank.uoregon.edu/xmlui/handle/1794/24644,43.424,-124.2211,TRUE,research,oregon
63,"Photography and field data used for hydrogeomorphic analysis of the Rogue River in southwest Oregon, USA","Photography and field data used for hydrogeomorphic analysis of the Rogue River in southwest Oregon, USA",2019,completed,"Zettler-Mann, Aaron",,UO,University of Oregon,,"envrionment, tech",,https://scholarsbank.uoregon.edu/xmlui/handle/1794/24742,42.55758,-124.10101,TRUE,research,oregon
64,Reproducing the River: Historic Context and Resource Survey of Oregon's State Fish Hatchery System,Reproducing the River: Historic Context and Resource Survey of OregonÇè_s State Fish Hatchery System,2018,completed,"Bohner, Rodney",,UO,University of Oregon,,"law, envrionment",,https://scholarsbank.uoregon.edu/xmlui/handle/1794/23908,0,0,FALSE,research,oregon
65,Using Visual Preference Surveys to Inform Planting Design in Stormwater Planters,Using Visual Preference Surveys to Inform Planting Design in Stormwater Planters,2018,completed,"Murphy, Brittany",,UO,University of Oregon,,"tech, health",,https://scholarsbank.uoregon.edu/xmlui/handle/1794/23671,44.0521,-123.0868,TRUE,research,oregon
66,Mercury Concentration and Speciation in Sediments Throughout the Watershed Affected by Black Butte Mine in Oregon,Mercury Concentration and Speciation in Sediments Throughout the Watershed Affected by Black Butte Mine in Oregon,2018,completed,"Cleveland, Rachael",,UO,University of Oregon,,"health, environment",,https://scholarsbank.uoregon.edu/xmlui/handle/1794/23531,43.574,-123.0637,TRUE,research,oregon
67,The Hammer and the Hand: Pluralistic Groundwater Governance and Conflict Transformation in Oregon's Malheur Lake Basin,The Hammer and the Hand: Pluralistic Groundwater Governance and Conflict Transformation in OregonÇè_s Malheur Lake Basin,2018,completed,"Bonini, Alyssa",,UO,University of Oregon,,law,,https://scholarsbank.uoregon.edu/xmlui/handle/1794/23780,43.3371,-118.7639,TRUE,research,oregon
68,Land Use Effects on Carbon Cycling in Oregon Coastal Wetlands,Land Use Effects on Carbon Cycling in Oregon Coastal Wetlands,2018,completed,"Blount, Keyyana",,UO,University of Oregon,,"law, envrionment",,https://scholarsbank.uoregon.edu/xmlui/handle/1794/23152,43.3665,-124.2179,TRUE,research,oregon
69,Anadromous Salmonid Restoration in the Lower Crooked River : Can Collaboration and Legislation Coexist?,Anadromous Salmonid Restoration in the Lower Crooked River : Can Collaboration and Legislation Coexist?,2018,completed,"McMurtrey, Owen S.",,OSU,Oregon State University,,"law, envrionment",,https://ir.library.oregonstate.edu/concern/graduate_thesis_or_dissertations/4t64gt54n?locale=en,44.5737,-121.272,TRUE,research,oregon
70,"Characterization of Thermal Regimes of Side Channels, Alcoves, and Ponds on the Willamette River, OR","Characterization of Thermal Regimes of Side Channels, Alcoves, and Ponds on the Willamette River, OR",2018,completed,"Gombert, Carolyn E.",,OSU,Oregon State University,,environment,,https://ir.library.oregonstate.edu/concern/graduate_thesis_or_dissertations/1831cq696?locale=en,44.7151,-123.1513,TRUE,research,oregon
71,Finding Submerged Sites : An Exploration of Shoreline and Environmental Change in Oregon's Yaquina River Basin using GIS Predictive Modeling Public Deposited,Finding Submerged Sites : An Exploration of Shoreline and Environmental Change in OregonÇè_s Yaquina River Basin using GIS Predictive Modeling Public Deposited,2018,completed,"Nuss, Kathryn F. ",,OSU,Oregon State University,,environment,,https://ir.library.oregonstate.edu/concern/graduate_thesis_or_dissertations/5712mc48k?locale=en,44.6123,-124.0179,TRUE,research,oregon
72,"Spatiotemporal distribution of the anti-diabetic drug, metformin, in the lower Columbia River and its effect on phytoplankton growth","Spatiotemporal distribution of the anti-diabetic drug, metformin, in the lower Columbia River and its effect on phytoplankton growth",2018,completed,"Cummings, Brittany M.",,OSU,Oregon State University,,"health, environment",,https://ir.library.oregonstate.edu/concern/defaults/m900p106j?locale=en,46.1543,-123.0548,TRUE,research,oregon
73,"The Relationship between Hydroregime and Coho Salmon (Oncorhynchus kisutch) Spawning in Three Streams of the Smith River Watershed, Oregon","The Relationship between Hydroregime and Coho Salmon (Oncorhynchus kisutch) Spawning in Three Streams of the Smith River Watershed, Oregon",2018,completed,"Baxter, Mackenzie R. ",,OSU,Oregon State University,,environment,,https://ir.library.oregonstate.edu/concern/graduate_thesis_or_dissertations/rf55zf18t?locale=en,41.9235,-124.1415,TRUE,research,oregon
74,"A Novel Approach to Process-based River Restoration in Oregon : Practitioners, Perspectives, and Effects on In-stream Wood","A Novel Approach to Process-based River Restoration in Oregon : PractitionersÇè_ Perspectives, and Effects on In-stream Wood",2018,completed,"Bianco, Stephanie R.",,OSU,Oregon State University,,environment,,https://ir.library.oregonstate.edu/concern/graduate_thesis_or_dissertations/n009w7099?locale=en,44.2388,-122.0593,TRUE,research,oregon
75,Transport and Mixing of Buoyant Water from Small Mountainous Rivers : An Investigation of Estuarine Residence Timescales and Coastal Current Propagation,Transport and Mixing of Buoyant Water from Small Mountainous Rivers : An Investigation of Estuarine Residence Timescales and Coastal Current Propagation,2018,completed,"Lemagie, Emily P.",,OSU,Oregon State University,,environment,,https://ir.library.oregonstate.edu/concern/graduate_thesis_or_dissertations/ws859m64t?locale=en,0,0,FALSE,research,oregon
76,"Laws, regulations, and management plans to improve streamflow and stream temperature : a case study in the North Fork Burnt River Watershed","Laws, regulations, and management plans to improve streamflow and stream temperature : a case study in the North Fork Burnt River Watershed",2018,completed,"Morgan-Hayes, Anna S. ",,OSU,Oregon State University,,"law, health",,https://ir.library.oregonstate.edu/concern/graduate_projects/rj430962j?locale=en,44.5021,-118.1524,TRUE,research,oregon
77,Addressing Free Ridership and the Provision of Hidden Public Goods : Using an Experimental Randomized Control Trial to Test the Nation's Willingness to Pay for the Columbia River Levee System in the Portland Metro Area During an Era of Localism,Addressing Free Ridership and the Provision of Hidden Public Goods : Using an Experimental Randomized Control Trial to Test the Nation's Willingness to Pay for the Columbia River Levee System in the Portland Metro Area During an Era of Localism,2018,completed,"Crawford, Tessa E. ",,OSU,Oregon State University,,law,,https://ir.library.oregonstate.edu/concern/graduate_projects/xp68kn34q?locale=en,45.63152,-122.71713,TRUE,research,oregon
78,Transdisciplinary Research in Water Sustainability: What's in it for an Engaged Researcher-Stakeholder Community?,Transdisciplinary Research in Water Sustainability: WhatÇè_s in it for an Engaged Researcher-Stakeholder Community?,2018,completed,"Chan, Samuel","Ferguson, Laura, Santelmann, Mary V., Tilt, Bryan",OSU,Oregon State University,,envrionment,,https://ir.library.oregonstate.edu/concern/articles/1n79h950z?locale=en,44.7475,-123.1577,TRUE,research,oregon
79,The Influence of Lithology on the Alluvial Character of Oregon Coast Range Streams,The Influence of Lithology on the Alluvial Character of Oregon Coast Range Streams,2018,completed,"Fratkin, Michael Mulugetta",,OSU,Oregon State University,,environment,,https://ir.library.oregonstate.edu/concern/graduate_thesis_or_dissertations/pv63g5350?locale=en,43.722,-123.316,TRUE,research,oregon
